7347.993727, 2.5, 2
7347.993743, 290, 273

8452.985423, 2.5, 2
8452.985439, 290, 273
0., 0., 0., 8480.696797, 2.5, 2
0., 0., 0., 8480.696813, 290, 273
0.001596, 2.5, 2
0.001611, 290, 273

38.121860, 2.5, 2
38.121876, 290, 273

62.151533, 2.5, 2
62.151548, 290, 273
76.847245, 2.5, 2
76.847268, 290, 273
107.167113, 0, 0
107.167130, 0, 0
140.860020, 0, 0
140.860048, 0, 0
354.526895`9.001194180566635, 0, 0
354.526917`9.001194207516578, 0, 0
644.355417`9.260670477414621, 0, 0
644.355435`9.260670489546595, 0, 0
644.356181
0
0
644.356194
0
0
667.573138`9.276043846588443, 0, 0
667.573156`9.276043858298475, 0, 0
667.573943,0,0
667.573956,0,0
