"BuildHiGGS","BuildHiGGS","DefTheory","DefTheory","PoissonBracket","PoissonBracket","Velocity","Velocity","ToNewCanonical","ToNewCanonical"
0.,0.,0.,0.,0.,0.,0.,0.,3.858158325392662e9,0.018983
0.,0.,0.,0.,0.,0.,0.,0.,3.858158325535604e9,0.052423
3.858158280026538e9,83.755319,0.,0.,0.,0.,0.,0.,0.,0.
0.,0.,3.858158363785889e9,0.001689,0.,0.,0.,0.,0.,0.
0.,0.,0.,0.,0.,0.,0.,0.,3.85815836379652e9,0.010492
0.,0.,0.,0.,0.,0.,0.,0.,3.858158363811179e9,0.009253
0.,0.,0.,0.,0.,0.,0.,0.,3.858158363824641e9,0.009294
0.,0.,0.,0.,0.,0.,0.,0.,3.858158363838295e9,0.009252
0.,0.,0.,0.,0.,0.,0.,0.,3.858158363851595e9,0.009339
0.,0.,0.,0.,0.,0.,0.,0.,3.858158363865569e9,0.009394
0.,0.,0.,0.,0.,0.,0.,0.,3.858158363879554e9,0.009449
0.,0.,0.,0.,0.,0.,0.,0.,3.858158363893854e9,0.009692
0.,0.,0.,0.,0.,0.,0.,0.,3.858158363908286e9,0.009627
0.,0.,0.,0.,0.,0.,0.,0.,3.858158363922809e9,0.009681
0.,0.,0.,0.,0.,0.,0.,0.,3.858158363937065e9,0.009485
0.,0.,0.,0.,0.,0.,0.,0.,3.858158363951573e9,0.009359
0.,0.,0.,0.,0.,0.,0.,0.,3.858158363965955e9,0.009144
0.,0.,0.,0.,0.,0.,0.,0.,3.858158363980678e9,0.009155
0.,0.,0.,0.,0.,0.,0.,0.,3.858158363994825e9,0.004137
0.,0.,0.,0.,0.,0.,0.,0.,3.8581583640061e9,0.006276
0.,0.,0.,0.,0.,0.,0.,0.,3.858158364017625e9,0.004243
0.,0.,0.,0.,0.,0.,0.,0.,3.858158364027146e9,0.004289
0.,0.,0.,0.,0.,0.,0.,0.,3.858158364036613e9,0.004199
0.,0.,0.,0.,0.,0.,0.,0.,3.858158364047193e9,0.012543
0.,0.,0.,0.,0.,0.,0.,0.,3.858158364065398e9,0.011588
0.,0.,0.,0.,0.,0.,0.,0.,3.858158364082506e9,0.01171
0.,0.,0.,0.,0.,0.,0.,0.,3.858158364100236e9,0.011668
0.,0.,0.,0.,0.,0.,0.,0.,3.858158364117816e9,0.012069
0.,0.,0.,0.,0.,0.,0.,0.,3.858158364135984e9,0.012258
0.,0.,0.,0.,0.,0.,0.,0.,3.858158364154356e9,0.012096
0.,0.,0.,0.,0.,0.,0.,0.,3.858158364172651e9,0.011998
0.,0.,0.,0.,0.,0.,0.,0.,3.858158364190788e9,0.011941
0.,0.,0.,0.,0.,0.,0.,0.,3.858158364209019e9,0.011717
0.,0.,0.,0.,0.,0.,0.,0.,3.858158364226922e9,0.011654
0.,0.,0.,0.,0.,0.,0.,0.,3.858158364244918e9,0.011644
0.,0.,0.,0.,0.,0.,0.,0.,3.858158364262808e9,0.01183
0.,0.,0.,0.,0.,0.,0.,0.,3.858158364281146e9,0.011838
0.,0.,0.,0.,0.,0.,0.,0.,3.858158364768588e9,0.011869
0.,0.,0.,0.,0.,0.,0.,0.,3.858158364786963e9,0.011026
0.,0.,0.,0.,0.,0.,0.,0.,3.85815836480431e9,0.011235
0.,0.,0.,0.,0.,0.,0.,0.,3.85815836482201e9,0.011244
0.,0.,0.,0.,0.,0.,0.,0.,3.858158364839929e9,0.011449
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366024136e9,0.004109
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366035377e9,0.004224
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366046423e9,0.004392
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366057751e9,0.004138
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366068918e9,0.004146
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366080094e9,0.004148
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366091243e9,0.004502
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366103235e9,0.00445
0.,0.,0.,0.,0.,0.,0.,0.,3.85815836611524e9,0.004494
0.,0.,0.,0.,0.,0.,0.,0.,3.85815836612742e9,0.004479
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366139787e9,0.004461
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366152162e9,0.004486
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366164672e9,0.004502
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366176998e9,0.004541
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366189748e9,0.004848
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366202645e9,0.004446
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366215485e9,0.004478
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366234342e9,0.004191
0.,0.,0.,0.,0.,0.,0.,0.,3.85815836624674e9,0.00438
0.,0.,0.,0.,3.85815836379159e9,2.474615,0.,0.,0.,0.
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366350144e9,0.00024
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366358608e9,0.000247
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366367029e9,0.000274
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366375293e9,0.000267
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366383531e9,0.000246
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366392197e9,0.000274
0.,0.,0.,0.,0.,0.,0.,0.,3.85815836640119e9,0.00029
