"BuildHiGGS","BuildHiGGS","DefTheory","DefTheory","PoissonBracket","PoissonBracket","Velocity","Velocity","ToNewCanonical","ToNewCanonical"
0.008638,3.858157443382725e9,0.,0.,0.,0.,0.,0.,0.,0.
0.008638,3.858157443382725e9,0.,0.,0.,0.,0.,0.,3.858157443382628e9,0.11401
0.042125,3.858157443505983e9,0.,0.,0.,0.,0.,0.,0.,0.
0.042125,3.858157443505983e9,0.,0.,0.,0.,0.,0.,3.858157443505894e9,0.048925
3.8581574087619e9,64.668941,0.,0.,0.,0.,0.,0.,0.,0.
0.042125,3.858157443505983e9,3.858157473446382e9,0.004472,0.,0.,0.,0.,0.,0.
0.261291,3.858157612757257e9,0.,0.,0.,0.,0.,0.,0.,0.
0.261291,3.858157612757257e9,0.,0.,0.,0.,0.,0.,3.858157612757162e9,0.312229
0.176095,3.858157613735542e9,0.,0.,0.,0.,0.,0.,0.,0.
0.176095,3.858157613735542e9,0.,0.,0.,0.,0.,0.,3.858157613735452e9,0.199413
0.176629,3.858157613944881e9,0.,0.,0.,0.,0.,0.,0.,0.
0.176629,3.858157613944881e9,0.,0.,0.,0.,0.,0.,3.858157613944799e9,0.20067
0.178408,3.858157614155598e9,0.,0.,0.,0.,0.,0.,0.,0.
0.178408,3.858157614155598e9,0.,0.,0.,0.,0.,0.,3.858157614155523e9,0.202529
0.177591,3.858157614368117e9,0.,0.,0.,0.,0.,0.,0.,0.
0.177591,3.858157614368117e9,0.,0.,0.,0.,0.,0.,3.858157614368032e9,0.201461
0.176402,3.858157614580024e9,0.,0.,0.,0.,0.,0.,0.,0.
0.176402,3.858157614580024e9,0.,0.,0.,0.,0.,0.,3.858157614579939e9,0.200539
0.177874,3.858157614790782e9,0.,0.,0.,0.,0.,0.,0.,0.
0.177874,3.858157614790782e9,0.,0.,0.,0.,0.,0.,3.858157614790704e9,0.201655
0.179022,3.85815761500237e9,0.,0.,0.,0.,0.,0.,0.,0.
0.179022,3.85815761500237e9,0.,0.,0.,0.,0.,0.,3.858157615002292e9,0.202617
0.177577,3.858157615215524e9,0.,0.,0.,0.,0.,0.,0.,0.
0.177577,3.858157615215524e9,0.,0.,0.,0.,0.,0.,3.858157615215441e9,0.201553
0.177513,3.85815761542749e9,0.,0.,0.,0.,0.,0.,0.,0.
0.177513,3.85815761542749e9,0.,0.,0.,0.,0.,0.,3.858157615427407e9,0.20101
0.177971,3.858157615639413e9,0.,0.,0.,0.,0.,0.,0.,0.
0.177971,3.858157615639413e9,0.,0.,0.,0.,0.,0.,3.858157615639334e9,0.202648
0.178111,3.858157615853343e9,0.,0.,0.,0.,0.,0.,0.,0.
0.178111,3.858157615853343e9,0.,0.,0.,0.,0.,0.,3.85815761585326e9,0.203558
0.177405,3.858157616068274e9,0.,0.,0.,0.,0.,0.,0.,0.
0.177405,3.858157616068274e9,0.,0.,0.,0.,0.,0.,3.858157616068189e9,0.202921
0.176877,3.858157616282898e9,0.,0.,0.,0.,0.,0.,0.,0.
0.176877,3.858157616282898e9,0.,0.,0.,0.,0.,0.,3.858157616282812e9,0.202372
0.177466,3.858157616497172e9,0.,0.,0.,0.,0.,0.,0.,0.
0.177466,3.858157616497172e9,0.,0.,0.,0.,0.,0.,3.85815761649709e9,0.203223
0.178145,3.858157616712043e9,0.,0.,0.,0.,0.,0.,0.,0.
0.178145,3.858157616712043e9,0.,0.,0.,0.,0.,0.,3.858157616711962e9,0.202703
2.017198,3.858157616948432e9,0.,0.,0.,0.,0.,0.,0.,0.
2.017198,3.858157616948432e9,0.,0.,0.,0.,0.,0.,3.858157616948304e9,2.264785
1.247613,3.858157619265828e9,0.,0.,0.,0.,0.,0.,0.,0.
1.247613,3.858157619265828e9,0.,0.,0.,0.,0.,0.,3.858157619265677e9,1.400004
0.470031,3.858157621314456e9,0.,0.,0.,0.,0.,0.,0.,0.
