"BuildHiGGS","BuildHiGGS","DefTheory","DefTheory","PoissonBracket","PoissonBracket","Velocity","Velocity","ToNewCanonical","ToNewCanonical"
0.,0.,0.,0.,0.,0.,0.,0.,3.858158325863493e9,0.019129
0.,0.,0.,0.,0.,0.,0.,0.,3.858158326000657e9,0.049612
3.858158280026279e9,86.491926,0.,0.,0.,0.,0.,0.,0.,0.
0.,0.,3.858158366523252e9,0.001766,0.,0.,0.,0.,0.,0.
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366533871e9,0.010446
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366548754e9,0.009295
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366562999e9,0.009237
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366576549e9,0.009372
0.,0.,0.,0.,0.,0.,0.,0.,3.85815836659016e9,0.009275
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366603818e9,0.009398
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366618282e9,0.010024
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366634329e9,0.009229
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366649331e9,0.010292
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366664579e9,0.010704
0.,0.,0.,0.,0.,0.,0.,0.,3.85815836668013e9,0.010495
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366695569e9,0.010656
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366711788e9,0.009783
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366728258e9,0.009902
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366743951e9,0.004315
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366754612e9,0.004373
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366764534e9,0.00498
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366774579e9,0.005461
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366785487e9,0.004399
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366796897e9,0.005547
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366808766e9,0.005543
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366821099e9,0.005554
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366833636e9,0.005462
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366850172e9,0.005595
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366862442e9,0.005395
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366874516e9,0.005444
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366887258e9,0.00552
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366900265e9,0.005508
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366913104e9,0.005334
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366925223e9,0.00531
0.,0.,0.,0.,0.,0.,0.,0.,3.85815836693686e9,0.005705
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366948738e9,0.006268
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366961156e9,0.006441
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366973901e9,0.006627
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366987391e9,0.039242
0.,0.,0.,0.,0.,0.,0.,0.,3.858158367035523e9,0.107746
0.,0.,0.,0.,0.,0.,0.,0.,3.858158367150328e9,0.069473
0.,0.,0.,0.,0.,0.,0.,0.,3.858158367227334e9,0.070424
